lat,lng,level,observed
54.3350808901,18.6132001877,3,2013-01-15 09:00:00
54.3288375447,18.6018147467,2,2013-03-15 09:26:00
54.3477523415,18.5587191582,2,2013-03-06 09:27:00
54.3188261953,18.5797691345,3,2013-03-15 09:34:00
54.3310146906,18.6010122299,5,2013-03-15 09:32:00
54.3403600938,18.5660791397,2,2013-02-23 09:33:00
54.3145706339,18.5523462296,3,2013-03-15 09:33:00
54.3287624687,18.5795116425,3,2013-02-27 20:30:00
54.3330540963,18.6163759232,2,2013-03-15 09:35:00
54.3762582018,18.5116195679,2,2013-01-12 21:54:00
54.319426945,18.5533332825,5,2013-03-13 19:37:00
54.3064087379,18.5603713989,5,2012-12-22 21:54:00
54.3145330829,18.5910773277,2,2013-03-14 06:00:00
54.3107026979,18.5635685921,3,2013-03-14 17:00:00
54.3196522238,18.5535049438,4,2013-03-14 18:00:00
54.3500855954,18.5647702217,3,2013-03-14 19:45:00
54.3235568615,18.6106681824,3,2012-08-17 09:43:00
54.3206033877,18.5779881477,5,2013-03-13 19:30:00
54.360044794,18.5727310181,2,2013-03-14 19:48:00
54.3279616489,18.6191868782,3,2013-03-12 22:00:00
54.3534550962,18.5150527954,5,2013-03-15 09:56:00
54.3177623462,18.5470461845,1,2013-03-15 09:56:00
54.3202529615,18.5526037216,4,2013-03-15 09:59:00
54.3142451905,18.567173481,1,2013-03-15 10:03:00
54.3401474376,18.5650491714,2,2013-03-01 10:11:00
54.3192767584,18.5818505287,3,2013-03-13 20:15:00
54.3424365616,18.5638260841,4,2013-03-08 10:13:00
54.3305892804,18.560564518,3,2013-03-07 20:11:00
54.2797085369,18.6447429657,2,2013-03-15 10:14:00
54.3392968016,18.613243103,1,2013-03-15 10:25:00
54.3400974006,18.5656499863,3,2012-09-28 22:00:00
54.3218423708,18.5523462296,5,2013-03-15 10:36:00
54.3118293187,18.567044735,4,2013-03-15 10:36:00
54.3285497525,18.5385704041,4,2013-03-15 10:36:00
54.3383085407,18.528034687,2,2013-03-15 10:36:00
54.3086121086,18.5677742958,3,2013-03-14 16:45:00
54.336381989,18.6043381691,5,2013-03-15 10:47:00
54.3529298755,18.6152172089,2,2012-12-14 19:49:00
54.3303640614,18.6009693146,4,2013-03-14 09:00:00
54.3225932514,18.5528182983,3,2013-03-13 21:00:00
54.320277992,18.5873007774,5,2013-03-13 21:55:00
54.3144204296,18.5499000549,4,2013-03-13 20:45:00
54.3090001901,18.5937595367,3,2013-03-11 03:58:00
54.3201528391,18.5527324677,5,2013-03-15 11:03:00
54.318838711,18.539493084,5,2013-03-15 11:21:00
54.351729346,18.5917854309,3,2013-02-27 18:30:00
54.3014131595,18.5795331001,2,2013-03-13 11:30:00
54.3277364156,18.5784816742,4,2013-03-15 11:33:00
54.3203405683,18.5506081581,3,2013-03-15 11:34:00
54.3190890244,18.5472822189,3,2013-03-15 11:34:00
54.3515792774,18.5135507584,4,2013-03-15 11:35:00
54.3780579078,18.50689888,1,2013-03-15 11:37:00
54.320966326,18.5499644279,4,2013-03-14 09:42:00
54.3162979443,18.5113620758,2,2013-03-15 11:50:00
54.3401599468,18.577773571,2,2013-03-15 07:21:00
54.308962634,18.5939311981,2,2013-03-13 07:59:00
54.3285622652,18.6086082458,4,2013-03-13 20:30:00
54.3275612332,18.5398578644,3,2013-03-15 12:12:00
54.3316027505,18.5944032669,3,2013-03-06 10:00:00
54.3233941757,18.5906481743,3,2013-03-08 09:15:00
54.3205157814,18.5481190681,5,2013-03-15 12:20:00
54.3069846302,18.5495996475,4,2013-03-13 20:15:00
54.3042803701,18.5836958885,3,2013-02-05 12:28:00
54.2752484676,18.5366821289,5,2013-03-15 12:33:00
54.3185633645,18.5677742958,1,2013-03-15 12:33:00
54.3225682223,18.5602426529,5,2013-03-15 12:33:00
54.2961915688,18.5608863831,1,2013-03-15 12:42:00
54.3097137497,18.5615730286,5,2013-03-15 12:42:00
54.3197273165,18.5524749756,5,2013-03-15 12:42:00
54.3495658033,18.5623240471,2,2013-03-15 12:45:00
54.3689585852,18.459777832,4,2013-02-25 11:31:00
54.3681585484,18.4549713135,4,2013-02-26 11:31:00
54.3671584803,18.458404541,4,2013-02-27 11:31:00
54.3667584463,18.4618377686,4,2013-02-28 11:31:00
54.3701586113,18.4563446045,4,2013-03-01 11:31:00
54.3227309114,18.6153888702,1,2013-03-12 12:58:00
54.3022645791,18.5782027245,1,2013-03-15 13:01:00
54.3503912145,18.5660362244,1,2012-10-15 13:04:00
54.3118168009,18.5650920868,5,2013-03-15 13:24:00
54.3131687056,18.5558223724,3,2013-03-15 13:28:00
54.3196522238,18.5526037216,5,2013-03-15 13:28:00
54.3209538109,18.5496854782,5,2013-03-15 13:28:00
54.3227809695,18.5521316528,5,2013-03-15 13:28:00
54.3287374433,18.5969352722,3,2013-02-01 13:53:00
54.3215795593,18.53713274,2,2013-03-15 14:11:00
54.3211915964,18.5382699966,1,2013-03-15 12:00:00
54.3282619582,18.6071705818,1,2012-08-15 13:23:00
54.3282869838,18.5841035843,5,2012-08-15 13:23:00
54.3201027779,18.550157547,5,2012-08-15 13:23:00
54.3147208377,18.5529899597,5,2013-03-14 14:43:00
54.3099641186,18.5666370392,5,2013-03-15 14:49:00
54.3191766337,18.5640621185,5,2013-03-15 14:49:00
54.3015634113,18.5801339149,2,2013-03-01 16:21:00
54.3227058824,18.5491275787,5,2013-03-01 16:21:00
54.3144204296,18.5340213776,5,2013-03-15 15:50:00
54.3010250065,18.5791897774,1,2013-01-16 16:53:00
54.3397471405,18.5655212402,3,2013-03-10 15:00:00
54.3001234757,18.5813570023,2,2013-03-15 17:09:00
54.3122298876,18.5613369942,1,2013-03-15 18:16:00
54.3191265712,18.6359024048,3,2013-03-15 18:41:00
54.3281243167,18.5842108727,3,2013-03-01 19:14:00
54.3172992504,18.542239666,5,2013-03-15 19:29:00
54.3735584948,18.6012268066,2,2013-03-15 22:33:00
54.3210038711,18.5493206978,4,2013-03-15 23:35:00
54.3046058923,18.6134576797,1,2013-03-15 23:38:00
54.3061959061,18.5687184334,4,2013-03-16 07:51:00
54.3205282966,18.5507583618,3,2013-03-02 11:30:00
54.3191140556,18.5584115986,4,2013-03-16 20:03:00
54.3207285392,18.5758852959,3,2013-03-16 20:34:00
54.3156095322,18.6029219627,2,2013-03-16 20:59:00
54.3210289012,18.575220108,2,2013-03-16 21:27:00
54.3183505956,18.581571579,5,2013-03-16 22:05:00
54.3200026552,18.576593399,5,2013-03-16 22:05:00
54.3235818901,18.5752630234,5,2013-03-16 22:05:00
54.3238321746,18.5920000076,3,2013-03-16 22:18:00
54.319451976,18.5523033142,3,2013-03-16 21:00:00
54.3469018629,18.5603284836,3,2013-03-16 23:16:00
54.3190389618,18.5398578644,1,2013-03-17 02:17:00
54.3725585583,18.6427688599,1,2013-03-17 02:56:00
54.329851058,18.5621523857,4,2013-03-16 20:00:00
54.3185007856,18.5397934914,1,2013-03-17 11:00:00
54.3198274399,18.5600709915,5,2013-03-17 11:25:00
54.3343427484,18.6252593994,1,2013-03-17 13:11:00
54.3090252275,18.5527968407,5,2013-03-17 14:18:00
54.360369875,18.5810136795,2,2013-02-22 08:30:00
54.3263349358,18.5935020447,4,2013-03-13 19:47:00
54.3290127217,18.6097669601,3,2013-03-06 15:26:00
54.3194895226,18.5407805443,5,2013-03-17 17:06:00
54.3221802688,18.5774302483,4,2013-03-16 22:27:00
54.3189263208,18.5474967957,5,2013-03-17 18:43:00
54.3210664463,18.5461235046,4,2013-03-17 18:45:00
54.3203030225,18.5638260841,5,2013-03-16 19:33:00
54.3169738286,18.554148674,1,2013-03-17 19:34:00
54.320277992,18.5233783722,3,2013-03-17 19:47:00
54.3214476018,18.5520801555,5,2013-03-15 20:16:00
54.3175245409,18.5482048988,5,2013-03-17 20:32:00
54.3146207019,18.5711860657,5,2013-03-17 20:32:00
54.3197273165,18.5143017769,5,2013-03-17 20:47:00
54.3087247778,18.594660759,2,2013-03-04 06:10:00
54.3189888992,18.5159754753,5,2013-03-17 20:51:00
54.3202029003,18.5122847557,5,2013-04-17 21:56:00
54.3223805033,18.5926437378,2,2013-03-17 21:41:00
54.3233316041,18.5130786896,3,2013-03-17 22:20:00
54.3185508488,18.5442781448,5,2013-03-17 22:47:00
54.3212666863,18.533012867,5,2013-03-17 12:20:00
54.318838711,18.5533976555,5,2013-03-16 19:30:00
54.324958436,18.5922574997,2,2013-03-18 07:08:00
54.3564812366,18.5833096504,2,2013-03-15 23:35:00
54.3612825889,18.5789322853,2,2013-03-15 23:24:00
54.3152966138,18.5494923592,5,2013-03-18 07:56:00
54.3271483004,18.5857343674,1,2013-03-16 08:06:00
54.3213256563,18.5487241748,2,2013-03-18 08:11:00
54.3213167461,18.5511231422,5,2013-02-08 12:30:00
54.3517543574,18.5040664673,1,2013-03-17 08:55:00
54.3185258172,18.5809707642,2,2013-03-17 09:19:00
54.3225306786,18.5452651978,5,2013-03-18 09:44:00
54.340797912,18.6012482643,2,2012-07-16 17:45:00
54.3278240065,18.5920214653,1,2013-03-18 09:55:00
54.3304391345,18.5841035843,2,2013-03-17 20:30:00
54.3176371857,18.5808849335,4,2013-03-18 11:47:00
